Bathrooms,Bedrooms,Beds,Accommodates,Guests,MinNights,MaxNights,ExtraPeople,HostListings,ResponseRate,Deposit,CleaningFee,FeeMissing,Price
1,1,1,2,1,2.9,30,0,1,1,200,40,0,101.0547945
1.5,2,2,4,4,2,365,25,1,1,250,30,0,111.8164384
1,0,2,2,2,4.2,60,10,2,1,100,15.4,1,49.98356164
1,1,1,2,2,2,21,0,1,1,0,10,0,33.82739726
1,1,1,2,2,1,31,0,1,1,75,10,0,80.24109589
1,1,2,3,2,1,31,10,2,1,0,8,0,77.65753425
1,2,3,5,4,3,30,10,7,1,100,20.4,1,146.2794521
1,3,4,5,4,2.1,365,10,1,0.67,200,0,0,191.3424658
1,4,5,6,1,2.2,365,0,1,1,150,45,0,144.8657534
1,1,1,2,1,5,240,0,1,0.76,100,35,0,82.17808219
2,1,1,4,2,2,31,15,1,1,90,55,0,84.0630137
1,1,1,3,2,2,1125,20,2,1,150,0,0,95.08767123
2,1,1,2,1,1,31,15,1,1,250,10,1,56.44931507
1,2,2,4,1,5,365,0,1,1,100,38.4,1,72.6109589
1,1,1,2,1,4,14,0,1,0.972,200,30,0,108.3287671
1,1,1,4,2,1,365,10,4,1,200,50,0,56
1,1,2,5,2,2.1,1125,5,4,1,0,60,0,90.19452055
1,1,1,2,2,2.9,30,0,2,1,0,40,0,85.75342466
1,1,1,4,2,2,365,15,1,0.892,68,35.4,1,80
1,1,1,4,2,1.9,90,10,1,1,0,30,0,105.0821918
1,2,3,4,4,2,1125,0,1,0.8,60,51.2,1,177.2054795
1,2,2,3,2,1,1125,28,1,1,0,10,0,49.0630137
1,2,3,4,2,3,365,8,1,0.88,100,20,0,69.06849315
2,1,1,2,1,1.3,180,10,2,1,0,0,0,54.9260274
1,2,2,4,2,1.3,180,10,2,1,0,0,0,132.7041096
1,2,3,4,2,3,120,20,1,1,100,30,0,77.15342466
1,1,1,2,1,2,1125,15,2,0.96,150,20,0,62.15068493
2,2,4,6,1,2.1,365,0,5,1,120,39,1,246.1068493
1,1,2,3,2,2,100,15,2,1,0,10,0,56.2739726
1,1,1,2,1,2,365,20,1,1,55,25,1,21.06849315
1,1,1,2,2,3,200,30,3,1,0,0,0,54.48219178
1,1,5,5,1,1,5,22,1,1,150,0,0,35.43561644
2,3,8,12,8,2.3,90,25,2,1,90,55,0,202.3616438
2,2,4,6,4,2.5,365,0,2,1,0,0,0,264.0164384
1,1,1,2,2,2,30,0,2,1,100,17,1,49.43561644
1,2,3,3,1,4,242,40,1,0.78,0,0,0,39.06849315
1,1,1,2,1,1.3,14,0,2,0.92,300,6.4,1,100
1,2,2,4,1,3,60,10,3,1,100,20,0,50
1,1,1,2,2,3,20,25,1,1,118,46,0,116.2958904
1,1,3,4,4,4,40,20,3,1,0,8,0,58.24383562
1,1,2,2,1,4.9,60,10,3,1,0,0,0,45.26027397
1,3,5,7,1,2,1125,0,3,1,140,60,0,147.1041096
1,1,3,4,1,4.3,30.2,0,2,0.92,0,0,0,113
2,3,5,6,1,1.9,31.9,0,2,0.92,0,0,0,93
1,1,1,3,1,3,1125,0,1,1,105,15,1,131.3972603
1,1,1,2,2,2,10,0,1,1,80,30,0,86.96986301
1,2,3,6,4,2,50,17,4,1,175,25,0,105.7650273
2,3,4,6,1,3.3,270,0,4,1,0,30,0,170.109589
1,2,3,5,4,2.1,180,25,4,1,200,30,0,198.9315068
2,2,1,6,4,2,30,15,4,1,175,25,0,85
2,1,2,2,1,2,40,10,1,1,40,21.8,1,50
1,2,2,4,3,3,1125,30,1,1,195.2,30,0,111.1780822
2,1,1,2,1,1,31,25,1,1,249.8,18,1,50.56438356
1,1,1,2,2,3.3,10,0,5,1,100,40,0,96.81693989
1,3,5,7,1,2,1125,0,3,1,140,60,0,141.1863014
2,2,3,6,4,2,40,17,4,1,180,25,0,97.03561644
2,2,3,6,4,2.1,27,15,3,1,180,30,0,138.7123288
1,1,1,2,1,2,5,20,1,1,80,6.8,1,47.03013699
1,1,1,2,2,2.4,28,0,1,1,200,0,0,109.1671233
1,1,1,2,1,2,5,0,2,1,0,5.2,1,37.12328767
1,1,3,3,2,3,14,15,2,1,78,24,1,40
2,2,3,4,1,2,30,0,1,1,0,30,0,143.9726027
1,1,2,4,2,3,14,30,2,1,250,75,0,214.2465753
1,1,1,2,1,3,8,0,1,1,100,14,1,100
1,1,1,2,1,2,1125,10,2,1,120,12,0,25
1,1,1,2,1,3.8,1125,5,2,1,100,0,0,38.64383562
1,1,1,2,1,2.1,26,15,2,1,70,15,0,34.30136986
1,0,1,2,1,4,95,0,1,1,200,80,0,93.90684932
1,1,1,2,1,1,1125,0,2,1,40,13,1,60
1,1,1,1,1,1,1125,0,2,1,40,3.8,1,45
1,2,3,4,4,1,180,0,1,1,0,15,0,69.84931507
2,1,2,3,2,2,365,15,1,0.5,0,0,0,63.99726027
1,1,1,2,1,2,10,15,6,1,0,0,0,32.64383562
2,3,4,8,1,5,90,0,1,1,200,49,1,275
1,2,2,4,4,1,1125,30,1,1,60,29,1,140
1,2,2,4,2,1.8,31,8,1,1,200,30,0,95.03835616
1,1,1,2,1,4,125,0,14,1,200,23,1,94.75616438
1,1,1,2,1,3.1,30,0,1,1,100,25,1,92.57534247
2.5,3,5,6,1,2.9,90,0,2,1,150,80,0,114.8328767
1,2,4,6,1,1.3,30,0,2,1,200,60,0,115.5765027
1,1,2,2,2,3,14,0,1,0.972,146,30,0,65
1,1,2,4,2,2,90,6,1,0.67,0,12,0,68.8
1,1,2,3,2,2.2,1124,40,1,1,77,30,0,81.82465753
1,1,2,3,2,2,14,30,1,1,20,10,1,78.14794521
0.5,1,1,2,1,1,90,7,4,1,70,10,0,19.63013699
1,1,2,2,1,1,28,7,4,1,50,10,0,15.10136986
2.5,3,3,6,6,3.4,330,20,4,1,0,20,0,171.1780822
2,2,3,4,1,2,180,0,4,1,200,25,0,174.5479452
1,1,1,2,1,2,1125,5,2,1,100,0,0,38.73972603
1,2,2,4,4,5,1125,0,1,1,200,51.4,1,200
2,3,3,6,4,2,30,15,1,1,150,20,0,160
1,1,1,4,2,3.2,1125,20,2,1,100,30,0,143.0438356
1,1,1,2,1,1,1125,35,2,1,150,15,0,64.44109589
1,2,4,6,4,2.4,120,5,9,1,150,15,1,99.6
1,1,3,4,2,2.4,180,5,9,1,150,0,0,73.00547945
1,2,3,5,2,2,365,25,2,1,200,0,0,111.0958904
1,2,3,4,2,1,7,25,1,1,100,0,0,41.41917808
1,1,1,1,1,1.4,40,20,2,1,200,4,0,29.53972603
1,1,1,3,2,2,30,15,2,1,100,20,0,65
1,1,1,3,2,2,30,20,2,1,100,30,0,62.94794521
1,2,4,5,1,3,90,0,1,0.67,100,30,0,121
1,2,3,4,1,2.4,60,0,1,1,100,49,1,64.78356164
1,1,2,4,2,3.1,40,6,7,1,200,20,0,128.909589
1,2,3,6,4,2,1125,35,1,1,250,40,0,75.37534247
1,2,4,5,4,2.3,365,30,3,1,400,40,0,170.3287671
1.5,3,4,5,4,3,30,20,1,1,160,43.6,1,120.7123288
1,1,1,2,1,4,90,10,1,0.9,350,40,0,47.10958904
1,1,1,2,1,2.1,26,15,2,1,80,15,0,30.70958904
1,2,4,5,4,3,365,35,15,1,190,43,1,320.4383562
1,1,2,3,2,3,365,35,15,1,190,19,1,222.4153005
1,1,2,3,2,3,365,35,15,1,190,19,1,193.2986301
1,1,2,3,2,3,365,35,15,1,190,19,1,236.6958904
1,1,2,3,2,7,365,35,15,1,250,28,1,222.4356164
1,1,2,3,2,3,365,35,15,1,190,19,1,224.2273973
2,2,4,4,1,1.4,119.6,0,5,1,100,10,0,186.7671233
1,1,1,2,2,3,45,200,1,1,100,0,0,39.06575342
1,1,1,2,2,1.7,22,0,25,1,150,35,0,97.44931507
1,1,2,4,2,3,1125,10,1,1,35.4,20,0,79.61369863
1,1,1,2,2,7,14,10,1,1,100,15,1,75.15342466
1,2,2,4,1,1,4,0,1,1,75.2,23,1,134.2465753
1,1,1,2,1,3,1125,0,4,1,180,20,1,70.38356164
1,1,1,2,2,3,31,4,7,1,20,40,1,86.93150685
1,1,1,2,1,3,30,0,7,1,0,18.2,1,81.42739726
1,2,3,4,1,3.3,31,0,7,1,0,30,0,104.9041096
1,1,2,2,1,2,7,0,1,1,100,11,1,80
2,2,5,6,1,2.1,1125,0,5,1,110,26.8,1,246.5041096
2,2,6,6,1,2.1,1125,0,5,1,130,30.8,1,246.7424658
2,2,5,6,1,2.1,1125,0,5,1,110,26.8,1,246.4986301
2,3,7,9,1,2.1,365,0,5,1,70,25,1,268.090411
1,1,1,2,3,4,30,35,2,0.73,140,21,1,88.49863014
1,1,1,3,3,5,1125,10,1,1,160,100,0,80.78082192
1,2,2,4,4,3,60,25,2,1,300,25,0,216.3561644
1,1,1,2,1,1,5,0,1,1,0,5,0,57.69863014
1,2,2,4,1,2,90,0,3,1,210.8,42,1,109.5068493
1.5,1,1,3,1,2,30,25,2,1,79,25,0,71.22739726
1,2,4,6,4,2.1,365,5,1,1,0,50,0,100.0575342
1,2,2,4,2,2.2,14,26,3,1,40,4,1,59.26027397
1.5,1,2,2,1,2,14,0,4,1,20,13,1,51.00821918
1,1,2,2,1,1,14,0,3,1,0,0,0,61.69863014
2,2,5,5,1,2,99,0,5,1,100,15,0,149.9863014
2,2,4,4,1,2,99,0,5,1,100,10,0,132.0136986
1,1,1,1,1,1,365,0,2,1,100,25.8,1,35.09041096
1.5,2,2,6,4,2.1,31,15,2,1,100,60,0,94.97260274
1,1,3,4,2,2,90,0,3,1,145.8,42.2,1,95.51912568
1.5,1,1,2,1,2,1125,0,1,1,150,20.8,1,104.5753425
1,2,2,6,4,3,30,15,3,1,72,33.6,1,84.45205479
1,3,7,10,6,2.2,1125,15,14,1,0,0,0,257.1945205
2,2,3,6,4,2.8,210,20,1,1,150,40,0,89.23224044
1,2,2,4,2,1,30,15,7,1,0,55,0,157.7315068
2,4,8,10,8,2.2,365,10,90,1,200,0,0,220.6136986
1,1,2,4,2,1,90,20,5,1,80,38,0,57.85753425
1,1,1,2,1,2,60,0,2,0.7,0,15,0,59.31506849
1,1,2,2,1,2.2,14,0,3,1,36,9,1,59.26027397
1,1,1,2,1,2.2,14,0,3,1,56,18,1,59.2739726
1,3,3,6,2,2.2,1125,0,1,1,150,70,0,145.4109589
1,1,1,2,2,2,30,15,1,1,50,23,1,49
2,2,6,6,2,1,14,30,2,1,0,0,0,84.80273973
1,1,2,4,2,2,365,40,1,1,100,20,0,85.91780822
1,2,3,4,4,2.1,365,0,90,1,200,0,0,160.6082192
1,1,2,2,1,2,10,10,1,1,0,0,0,30.10410959
2,4,8,10,8,2.9,1125,25,6,1,150,50,0,229.9863014
2,4,8,10,8,2.9,1125,25,6,1,150,50,0,229.0410959
1,1,1,2,1,2,2,0,1,1,250,15,0,80
1,1,2,3,2,1,90,10,3,1,40,16.8,1,91.50684932
1.5,3,5,7,3,3,28,20,1,1,100,30,0,145.9506849
1,2,2,6,4,2,30,15,1,1,17,53.6,1,143.1260274
1,3,5,6,6,2,60,0,1,1,200,55,0,170.6575342
1,1,1,1,1,1,10,0,1,1,70,11,1,26.40821918
1,2,2,4,2,2,30,10,1,1,100,10,0,89.42465753
1,3,3,5,4,7,15,0,3,1,100,24.6,1,45
