year,cunsumption,GDPc,population,consumptionpc
1999,53013412445,3486.165743,30346083,1746.960636
2000,54973736359,3568.250314,30774621,1786.333497
2001,55963263613,3625.074579,31200985,1793.637721
2002,58929316585,3769.636743,31624696,1863.395512
2003,61404347882,3960.661482,32055883,1915.540679
2004,64228947884,4081.053662,32510186,1975.656118
2005,66605418956,4243.153896,32956690,2020.998436
2006,69203030295,4303.733578,33435080,2069.773133
2007,72663181810,4365.501344,33983827,2138.169483
2008,77168299082,4398.818288,34569592,2232.259469
2009,82724416616,4372.371178,35196037,2350.390091
2010,87605157196,4497.861365,35856344,2443.226147
2011,92423440842,4545.677998,36543541,2529.132052
2012,98061270734,4565.200327,37260563,2631.771043
2013,1.03E+11,4592.67657,38000626,2722.445694
2014,1.09E+11,4687.288575,38760168,2807.88984
2015,1.13E+11,4741.49977,39543154,2862.383036
2016,1.16E+11,4829.185829,40339329,2873.229669
2017,1.18E+11,4806.631255,41136546,2871.08052
2018,1.21E+11,4782.034707,41927007,2890.192009
2019,1.24E+11,4737.129774,42705368,2905.61484
2020,1.20E+11,4422.979472,43451666,2758.615725
2021,1.22E+11,4515.573999,44177969,2753.961954
2022,1.26E+11,4602.575608,44903225,2798.894122
2023,1.30E+11,4717.399329,45606480,2852.185711
